Date,Open,High,Low,Close,Volume,Adj Close
2000-11-06,14904.290039,15371.44043,14887.360352,15371.44043,000,15371.44043
2000-11-02,14857.360352,14961.69043,14767.959961,14837.780273,000,14837.780273
2000-11-01,14557.450195,14888.030273,14557.450195,14872.389648,000,14872.389648
2000-10-31,14475.980469,14566.049805,14333.160156,14539.599609,000,14539.599609
2000-10-30,14607.019531,14715.660156,14425.219727,14464.55957,000,14464.55957
2000-10-27,14852.790039,14989.410156,14582.200195,14582.200195,000,14582.200195
2000-10-26,14787.379883,14858.429688,14577.200195,14858.429688,000,14858.429688
2000-10-25,15108.459961,15108.459961,14840.469727,14840.469727,000,14840.469727
2000-10-24,15100.080078,15229.459961,15066.599609,15148.19043,000,15148.19043
2000-10-23,15197.929688,15224.80957,15035.240234,15097.959961,000,15097.959961
2000-10-20,14842.80957,15314.969727,14842.80957,15198.730469,000,15198.730469
2000-10-19,14901.110352,15027.129883,14707.879883,14811.080078,000,14811.080078
2000-10-18,15324.349609,15324.349609,14832.969727,14872.480469,000,14872.480469
2000-10-17,15526.990234,15545.05957,15340.219727,15340.219727,000,15340.219727
2000-10-16,15366.80957,15688.169922,15366.80957,15512.320312,000,15512.320312
2000-10-13,15516.150391,15516.150391,15101.639648,15330.30957,000,15330.30957
2000-10-12,15491.799805,15580.320312,15392.740234,15550.639648,000,15550.639648
2000-10-11,15795.150391,15795.150391,15424.709961,15513.570312,000,15513.570312
2000-10-10,15958.120117,15958.120117,15792.360352,15827.719727,000,15827.719727
2000-10-06,16084.049805,16084.049805,15884.650391,15994.240234,000,15994.240234
2000-10-05,16157.200195,16192.780273,16052.120117,16099.259766,000,16099.259766
2000-10-04,15906.179688,16153.669922,15808.660156,16149.080078,000,16149.080078
2000-10-03,15905.25,15956.450195,15779.540039,15912.089844,000,15912.089844
2000-10-02,15735.709961,15902.509766,15514.040039,15902.509766,000,15902.509766
2000-09-29,15663.709961,15898.070312,15663.709961,15747.259766,000,15747.259766
2000-09-28,15642.839844,15888.349609,15625.870117,15626.959961,000,15626.959961
2000-09-27,15907.19043,15907.19043,15621.879883,15639.950195,000,15639.950195
2000-09-26,15992.860352,16038.070312,15905.370117,15928.620117,000,15928.620117
2000-09-25,15850.55957,16144.19043,15850.55957,15992.900391,000,15992.900391
2000-09-22,16268.94043,16270.419922,15785.629883,15818.25,000,15818.25
2000-09-21,16422.490234,16460.490234,16290.790039,16311.049805,000,16311.049805
2000-09-20,16146.040039,16523.269531,16146.040039,16458.310547,000,16458.310547
2000-09-19,16013.330078,16124.19043,15774.719727,16124.19043,000,16124.19043
2000-09-18,16174.919922,16174.919922,15965.709961,16061.160156,000,16061.160156
2000-09-14,16208.330078,16311.040039,16144.110352,16213.280273,000,16213.280273
