"iteration";"fit.mle.sGARCH.norm";"fit.mle.sGARCH.skewnorm";"fit.mle.sGARCH.t";"fit.mle.eGARCH.norm";"fit.mle.eGARCH.skewnorm";"fit.mle.eGARCH.t";"fit.mle.gjrGARCH.norm";"fit.mle.gjrGARCH.skewnorm";"fit.mle.gjrGARCH.t";"fit.bayes.sGARCH.norm";"fit.bayes.sGARCH.skewnorm";"fit.bayes.sGARCH.t";"fit.bayes.eGARCH.norm";"fit.bayes.eGARCH.skewnorm";"fit.bayes.eGARCH.t";"fit.bayes.gjrGARCH.norm";"fit.bayes.gjrGARCH.skewnorm";"fit.bayes.gjrGARCH.t"
26;-10.44967845925;-10.7066291241057;-10.8733596199491;-8.28663338054237;-8.85178368429388;-8.03349833558214;-9.86937230514838;-9.73692535204966;-9.4061643988677;-10.0660354888872;-10.1407999954551;-8.53115987268483;-6.99244449300058;-6.64652746856953;-8.25949930143614;-9.99482307306395;-8.4439014261913;-10.7755710218764
27;-9.33635594366011;-10.5678285466822;-9.5513395922767;-7.71567675096539;-8.1225779990701;-7.61179537733279;-9.76942621423191;-9.54260586145345;-9.51722510591051;-10.416380392485;-10.2333088059511;-9.25794409406529;-6.88119304329518;-6.9537078221524;-7.09050575462685;-8.16712114777243;-7.58829123226595;-10.4489469003355
28;-10.0975522450196;-10.6670843211293;-10.0951858528454;-8.32125973060843;-7.5709568046076;-7.70243237609351;-8.36771368986408;-9.54883350359956;-9.83315627888749;-9.54118828498494;-9.7770767559704;-9.32657609895726;-9.5547545614366;-10.6908927289157;-6.92639717131694;-7.88751423158168;-7.97304558056241;-7.50111266094684
29;-9.07583429641493;-10.2651639742168;-10.2400275618848;-7.01487072217212;-7.1781286483561;-7.63967004079301;-7.91389861853316;-9.10360508810578;-8.64260660488752;-9.50555794074602;-8.87006062748852;-9.22018874519142;-6.31372831546607;-8.22205148115876;-6.05796239736614;-8.09694863445534;-6.69397496540645;-7.20917335467117
30;-9.07291383012961;-9.88302148173873;-9.47494499895681;-7.25820692082475;-6.6833938915507;-7.13262769796644;-8.658128116058;-9.25385981238381;-8.7788465830242;-7.52860383566391;-10.0537296588818;-10.9365321759595;-5.68664274622423;-8.66691651134808;-6.9303231108182;-9.59194307005723;-8.75764610513653;-6.15242418907141
31;-8.65480783136407;-9.37454092988192;-8.53208094283585;-6.26059717935708;-7.61327964900145;-6.63520841500771;-8.54884528523603;-9.03139311050134;-8.52654234703727;-5.99119213622757;-5.90125177408263;-9.2764536964261;-8.07192085685734;-5.61384610021314;-9.42337526553648;-6.94139965601653;-6.77704506943294;-6.5989407184611
32;-8.68304609197111;-8.87711112650041;-8.86458244575287;-6.21246770892939;-6.205600809906;-7.11406284668331;-8.15462878613409;-8.69451562894423;-7.56807946016736;-7.5147207039842;-6.66922534241167;-8.48938686721709;-5.60319493285484;-7.08228662281032;-5.31706954710283;-7.45142551064233;-7.53128994939699;-6.89330995836011
33;-8.67031293226181;-8.98075501748187;-8.59293322320826;-5.93585665325905;-6.06838432669407;-5.89723386410797;-6.65136785734583;-8.50502739860325;-7.43042095767002;-7.38395617730117;-8.17116222443311;-6.91176614269985;-7.76683590935824;-5.39638947123246;-7.10003388110104;-5.74314268209995;-8.30975266345807;-6.5483996997646
34;-9.58263370135157;-9.98050081340418;-9.78295025292899;-8.77897192767603;-8.66245718301394;-8.50532535079782;-9.37022042392083;-10.1452533344293;-9.83434368545468;-8.6707229360709;-8.86242181441003;-11.8268564324108;-9.36643377724347;-7.96532527997058;-8.7764202295878;-9.33279206319392;-8.55891570365259;-12.3333896872513
35;-9.31796077020407;-9.62139557496281;-9.69203863309062;-8.36507201463841;-8.48711810049711;-8.42290922790277;-9.15833106355548;-10.0684355132409;-9.80418325546322;-10.8543460286832;-7.44779796075828;-8.28794212048705;-7.82802771182533;-7.6678782541407;-7.03805859389472;-9.7257042475466;-9.87135897475284;-8.92063875961707
