"Model";"Violation.percentage";"LR.UC";"pval.UC";"LR.Ind";"pval.Ind";"LR.CC";"pval.CC";"DQ";"pval.DQ"
"fit.mle.sGARCH.norm";1.2;0.189880245328871;0.663016306966978;0.146048230273232;0.702340782974193;0.335928475602103;0.845384066937259;0.611656128391846;0.996202998622924
"fit.mle.sGARCH.skewnorm";1.2;0.189880245328871;0.663016306966978;0.146048230273232;0.702340782974193;0.335928475602103;0.845384066937259;0.632265072654891;0.995837890558742
"fit.mle.sGARCH.t";1.2;0.189880245328871;0.663016306966978;0.146048230273232;0.702340782974193;0.335928475602103;0.845384066937259;0.625813203723453;0.99595439121619
"fit.mle.eGARCH.norm";1.8;2.61257062000347;0.1060197786282;0.330630836600208;0.56528786453578;2.94320145660367;0.229557731370768;5.12287835843565;0.528152545265142
"fit.mle.eGARCH.skewnorm";1.4;0.718703026060786;0.396569669891385;0.199193712511925;0.655372446633103;0.917896738572711;0.631947871976825;1.84738921517919;0.933185359604747
"fit.mle.eGARCH.t";1.4;0.718703026060786;0.396569669891385;0.199193712511925;0.655372446633103;0.917896738572711;0.631947871976825;2.74488310030522;0.84011761562645
"fit.mle.gjrGARCH.norm";1.2;0.189880245328871;0.663016306966978;0.146048230273232;0.702340782974193;0.335928475602103;0.845384066937259;0.615840690551793;0.996130515356656
"fit.mle.gjrGARCH.skewnorm";1;0;1;0.101216303105569;0.750374876437166;0.101216303105569;0.950651108718794;0.481345945871784;0.998058146355773
"fit.mle.gjrGARCH.t";1.6;1.53827672877169;0.214874492985115;0.260703999962407;0.609636909492962;1.7989807287341;0.40677691493431;3.30478764871372;0.769734224913375
"fit.bayes.sGARCH.norm";1.2;0.189880245328871;0.663016306966978;0.146048230273232;0.702340782974193;0.335928475602103;0.845384066937259;0.616568172592005;0.996117828768031
"fit.bayes.sGARCH.skewnorm";1.2;0.189880245328871;0.663016306966978;0.146048230273232;0.702340782974193;0.335928475602103;0.845384066937259;0.659165830179752;0.995330272477099
"fit.bayes.sGARCH.t";1;0;1;0.101216303105569;0.750374876437166;0.101216303105569;0.950651108718794;0.304998135761743;0.999472564729225
"fit.bayes.eGARCH.norm";1.4;0.718703026060786;0.396569669891385;0.199193712511925;0.655372446633103;0.917896738572711;0.631947871976825;1.60626264282656;0.952126109304084
"fit.bayes.eGARCH.skewnorm";1.2;0.189880245328871;0.663016306966978;0.146048230273232;0.702340782974193;0.335928475602103;0.845384066937259;0.59317911560807;0.996513103693544
"fit.bayes.eGARCH.t";1.4;0.718703026060786;0.396569669891385;0.199193712511925;0.655372446633103;0.917896738572711;0.631947871976825;1.90305275415219;0.928395279400814
"fit.bayes.gjrGARCH.norm";1.4;0.718703026060786;0.396569669891385;0.199193712511925;0.655372446633103;0.917896738572711;0.631947871976825;1.6377930832625;0.949821996216043
"fit.bayes.gjrGARCH.skewnorm";1;0;1;0.101216303105569;0.750374876437166;0.101216303105569;0.950651108718794;0.239685402225919;0.999737719513825
"fit.bayes.gjrGARCH.t";1.2;0.189880245328871;0.663016306966978;0.146048230273232;0.702340782974193;0.335928475602103;0.845384066937259;1.40734307421983;0.965410201928562
