"iteration";"fit.mle.sGARCH.norm";"fit.mle.sGARCH.skewnorm";"fit.mle.sGARCH.t";"fit.mle.eGARCH.norm";"fit.mle.eGARCH.skewnorm";"fit.mle.eGARCH.t";"fit.mle.gjrGARCH.norm";"fit.mle.gjrGARCH.skewnorm";"fit.mle.gjrGARCH.t";"fit.bayes.sGARCH.norm";"fit.bayes.sGARCH.skewnorm";"fit.bayes.sGARCH.t";"fit.bayes.eGARCH.norm";"fit.bayes.eGARCH.skewnorm";"fit.bayes.eGARCH.t";"fit.bayes.gjrGARCH.norm";"fit.bayes.gjrGARCH.skewnorm";"fit.bayes.gjrGARCH.t"
18;-15.4248055140462;-14.3155978673191;-14.6898479063708;-11.9203017559585;-12.3626097376373;-12.9188843949447;-15.2493876900274;-15.4973930464742;-14.3944418341525;-11.6538443650225;-13.6894987117185;-11.4970163656733;-11.2957635320389;-13.0372834753449;-12.5236369831499;-11.4433065968506;-12.447875361345;-14.8988753880165
19;-14.369666294918;-13.5388907570645;-14.8394323967749;-11.3817682391929;-11.7830256076562;-11.6688962949581;-14.0227770743291;-15.2959073745051;-14.8528556331141;-11.5715432498507;-11.3380057433233;-12.5050467813397;-12.146529481716;-12.3599152710313;-18.1164330803422;-10.2075595788775;-14.6508669567942;-13.422107512818
20;-11.9997011040776;-11.9652525203886;-14.3694615787452;-12.1024676100798;-11.3849871708589;-11.0615108982387;-12.5864377139337;-13.4982231876851;-13.5934975406463;-14.4102492967163;-14.4388196505974;-9.7697550232419;-10.8354694094936;-11.0972266691797;-8.82476890170886;-11.4451753341321;-11.1720865130525;-12.0604515717578
21;-13.1198075624103;-12.1182967504097;-12.1144112184998;-9.69113996198678;-10.7358393391339;-11.1187816874121;-12.1208749742282;-12.639191422459;-12.4461810737215;-9.05571130018634;-11.2041864768459;-14.8126815468159;-12.5446697968889;-12.6238203534836;-10.3419855780717;-12.9572698693371;-13.1930726597883;-13.0918663522406
22;-10.6089391852113;-11.1305812119614;-12.0628651097924;-9.9329246415652;-9.9799411807737;-9.94625500414227;-11.2826434853066;-13.3087364043435;-12.6628072427749;-10.1055707927159;-12.3738882142585;-10.997886297578;-9.92629356978226;-7.52923411175451;-10.481389086125;-10.1630428279916;-12.7562865195702;-11.8354118760637
23;-10.9694541514783;-10.9738644940947;-12.608445101135;-10.3760043901057;-11.8637610391675;-11.6212551795551;-12.4416240152406;-12.4798020441231;-13.0988514677633;-9.10300937148338;-11.8576984702019;-12.4154906431032;-9.57029815031275;-8.1100467997913;-11.9115940420535;-11.7293001593412;-13.3669126921048;-11.1953558835718
24;-10.9787147413046;-10.9231880929725;-11.5144205310685;-10.1407327119756;-11.4254483865505;-10.4851830907368;-11.3012785441947;-11.3639060124524;-11.9560732572283;-13.9995761951965;-11.7619484695059;-12.905219643332;-9.36453286629332;-9.49927465221582;-10.1814168064966;-10.739225183066;-11.2054491911795;-11.3311580339964
25;-11.2649781561723;-10.2301636174056;-10.8852746357989;-9.56484451378576;-8.35605562235455;-10.3495419690496;-10.8895067638491;-12.0088931263244;-11.1068087885838;-9.00813419743038;-8.6719740452861;-11.7602123537155;-9.37830831388858;-10.540175016522;-9.64725205137963;-8.02276870416732;-11.2125996103824;-9.83343589169666
26;-8.64016858765592;-10.015154645427;-10.1724095539411;-8.58484460147729;-8.2102962336695;-9.3485701712746;-10.2006038007093;-11.3417460229664;-10.2891751558884;-9.75490704677212;-11.3387823925897;-11.0339564476208;-14.5605970318141;-9.05934597290257;-9.82890102910903;-8.97165034973522;-7.05593227131719;-10.924016443239
27;-9.73280517343931;-9.1782229099605;-10.5948667631809;-8.0305773137616;-8.89282921256594;-8.44379789615624;-9.94236285025353;-10.8104961083055;-10.7220587033493;-8.76178454813288;-8.61402491504765;-8.75867508496793;-7.59159334420674;-6.19405588287157;-9.49331023161393;-11.49034913465;-11.817215086827;-10.1699248380321
28;-9.22881068912736;-9.86915342256602;-9.92451228794095;-7.42847622310884;-6.62773153765427;-7.644818827605;-9.52296110841436;-10.531024372207;-10.2719559394047;-8.45258419025359;-8.42327333320996;-11.001960020235;-7.3194467042217;-8.17354687191179;-6.37322011342055;-9.44613027082059;-7.81981897981029;-8.30543120952807
29;-8.88495009960324;-9.15144042343567;-9.9536494562932;-7.41925879657397;-6.51493933410064;-8.08547989426869;-9.02835992517682;-9.2259741802009;-9.27251006563077;-8.38832843838423;-8.21614419524858;-11.0327412174788;-7.67739493809653;-6.56314586798096;-7.80439823113728;-8.21038707636185;-7.75101212665112;-7.20880589793184
30;-8.25686215104082;-8.71129390898059;-8.69679641145296;-7.13889534227598;-7.57706437872934;-8.67242394748437;-9.75219919200945;-9.03769796323846;-9.59727047474326;-8.55216049848273;-8.66175848516561;-9.98655308179916;-9.22929195919393;-7.49324839578613;-7.85331738032826;-9.01643270255291;-8.84496523156172;-8.89339097405109
31;-9.68398062813384;-10.9144040647655;-10.2743342178594;-9.26709582332341;-9.16427921972776;-9.42547505646077;-11.0283328625649;-11.2208652972458;-11.2029906337864;-8.83640418769445;-8.89202322699325;-8.71247978480753;-11.1088252542315;-9.4559082424736;-7.19747300498187;-11.5854289040271;-10.9443384658808;-10.9647021468228
32;-10.0197165735459;-9.32000013271234;-9.54915247090517;-8.18179501063525;-8.25882789592448;-9.13459472511868;-10.9415129069529;-10.5406106428527;-10.0310709394783;-8.37748882830159;-8.30822062321898;-9.88963808900759;-9.86512090459069;-8.69559608661589;-9.37839439041663;-8.58713162773779;-10.3777325839194;-7.5397108250033
33;-10.716436793667;-11.7813665953693;-11.7487603646624;-11.1004469534787;-11.3800854736876;-11.7018325417254;-13.2764706155699;-13.5099818302742;-13.9227496685888;-9.85845408319827;-15.8670381005302;-9.81205931104819;-9.86768376356961;-9.5472344694588;-14.1212528959518;-12.1232587555497;-11.3909527458422;-12.8040586029294
34;-9.99176499452525;-10.0944396671361;-10.5420292288821;-9.82149086793443;-11.3559722452988;-10.8810714828577;-12.359796585005;-12.3704217357097;-12.4725537202257;-10.056822684801;-9.44257645843307;-9.94257513956796;-9.40864691370472;-10.38469786276;-10.3985037373279;-12.6439539938177;-9.56074903829337;-10.9163632336073
35;-12.1542015710239;-11.7662274679576;-11.144106771452;-11.9636316190958;-14.0504039590644;-12.2653812484165;-13.897753227624;-14.9359581838743;-15.1986482966826;-10.5569655697844;-9.52235333132352;-12.2195246840105;-14.5424003449707;-12.8330489211833;-10.2730094093448;-12.5031969812158;-12.8213687339767;-15.1089033482511
36;-11.3753702942594;-12.1963764643389;-12.0689590285323;-11.9283620879274;-12.3135378222935;-12.7210877116758;-13.743008045146;-14.2291019319934;-13.6566248238463;-12.2153871106584;-13.324001802863;-9.34354992958797;-12.3060621077606;-12.4501417789176;-11.3601514628879;-14.847420594098;-10.6161671664721;-15.7745042961848
37;-10.7177135429378;-11.1554846803372;-11.6239048414529;-10.6302858799259;-11.4270898380016;-11.7036892920681;-12.6699905037677;-12.6216150018764;-13.0616169477169;-9.8048668045431;-9.24789168091144;-13.6856366613082;-10.4099074360123;-16.0724853921291;-10.24963276861;-13.3727578414658;-10.9243028131244;-11.152698892685
38;-10.6789781310078;-10.999943537226;-11.0171792328547;-12.614987072505;-11.4366224833271;-11.7648601371848;-12.6443733498335;-12.9428636785244;-12.6991841198959;-12.2756337841846;-10.0721851962982;-9.64257674964013;-11.5290491632984;-10.5703105361049;-13.380276208301;-14.2555203955738;-10.9476393867004;-11.1285065328636
39;-10.7547652650855;-10.5743100092013;-11.8641965713692;-11.2295174949001;-11.7766879773123;-12.4985465492154;-12.1475021145123;-12.7435376242103;-12.6713329394403;-9.74400078499637;-10.2676837486916;-10.6143646995061;-9.13658719240861;-11.918466052004;-10.8516907828321;-10.057012199225;-11.0031971858799;-10.93439436333
40;-10.5938053183258;-10.3137703493178;-10.5251080029362;-11.5670472585265;-11.5127989711023;-11.1311392118728;-11.6789164205262;-11.7523794470108;-11.7531040665811;-10.2096206839136;-13.1680374585785;-10.3394715004544;-11.5658937985633;-10.4774207478795;-12.9570153422985;-9.38330697880335;-12.2029356704639;-10.7296412717585
41;-10.785403448479;-11.1893757642607;-10.8718888622819;-13.4029145184923;-12.3044004018588;-12.0013949850131;-12.9690046489851;-13.3014423297856;-12.4979009601996;-9.80529133746776;-11.4481971645647;-10.4205832378077;-13.4731014927158;-13.6792255607015;-12.7913522742885;-11.3489414248404;-10.8064627943534;-12.6562521285533
42;-10.7768058042894;-10.4669116611288;-11.3418984291;-12.538839104024;-11.9054816389669;-11.7105615791888;-12.1564898751463;-12.6075255467703;-11.9342584374406;-11.59388173695;-8.95128487805693;-8.08097095557687;-10.2177643221665;-10.8459791627544;-14.5760664217387;-9.64648372242448;-11.6756160662186;-12.4475723178175
43;-11.8377532168252;-12.1619902405494;-12.3465887106889;-11.6336474598076;-11.5992047187681;-12.2729546388479;-12.3251663311504;-12.8925667989801;-12.4569429389123;-10.6922166899856;-9.97897674948416;-9.65727427787001;-11.2283565962058;-11.8239215283779;-9.48212860057975;-11.3296429257789;-11.0504449661505;-13.5468858337104
44;-10.496197489987;-11.0970106842719;-11.2040563142293;-10.9482645859749;-10.3915590515221;-10.986375183621;-10.961384729462;-11.903313160217;-11.3528943816146;-9.3265306860231;-9.34044594006221;-8.58406396776249;-9.42128292728582;-9.81001857437514;-7.40666458523715;-9.83542504905149;-9.72237499481215;-13.4793933483771
45;-11.1708444675339;-11.0143982293039;-11.2895278670054;-10.7581879467221;-10.7819313305891;-10.3207134407007;-11.4309204521637;-11.5502199836292;-11.3374551643035;-8.53855419113937;-10.2661378312574;-11.8668579547558;-8.69443259245872;-8.38874772510742;-10.0602101515393;-10.0822493294418;-12.7906701531137;-9.28113188369171
46;-10.8380552116787;-11.4282361141041;-10.721371288486;-11.4281730577235;-10.8932448556789;-11.0702812925802;-11.9323017116397;-11.570064928631;-12.9366519580119;-9.1256312934968;-9.61061451159571;-10.0952226689357;-8.83941544263306;-12.847308322125;-15.0985059494141;-9.11427011546372;-15.4521953871675;-12.9986197036976
47;-9.75849745105739;-10.5250050535842;-11.4683386319907;-11.4255312182129;-12.0791008768364;-12.5887354804669;-11.5094008639787;-11.161588898376;-12.1609769708361;-11.8318157873949;-12.1144442632022;-9.89862619973673;-10.5381780110969;-11.2188629349368;-9.963002404534;-12.5900182676655;-11.8524140554017;-11.3760753956128
48;-9.53901811786098;-9.97253259645121;-10.3378324672747;-11.6209941387804;-11.3721306956477;-10.9047900556908;-10.4949332189694;-11.1555986537741;-11.6311247084206;-7.78514836576957;-10.414151240534;-7.59889155538967;-10.6216303723248;-8.33090181770951;-11.2512754982714;-8.56282095597562;-10.2237347750557;-12.5926278129538
49;-9.9864006338358;-9.92173987106628;-10.3300914916945;-10.1858299686238;-10.5476741337316;-10.8723020362886;-10.5759191873319;-10.4087814873697;-10.8583967800948;-10.0958944312523;-9.79463420856114;-9.3555029495677;-11.4290990213661;-10.4517966718222;-9.10823304071058;-11.9035816038585;-8.9861856603257;-10.5602569528046
50;-9.86058548463719;-9.72283903544888;-10.2870771500191;-9.61214628059792;-10.5066885252982;-10.0601175845744;-10.6277372676255;-10.3150170055526;-10.2921108220662;-8.69054356912814;-9.31430404305582;-7.69561327477426;-9.10108817567339;-11.0269530426874;-9.20797727729478;-8.82873718701254;-8.26893826998465;-7.73515086524861
51;-9.17540632252492;-9.96906063650695;-9.49903549174124;-9.8382821866567;-10.1117755927782;-9.7821026039582;-9.75050593864779;-9.94887129974565;-10.3291446170039;-9.75400562032567;-8.83189093494005;-8.88690362262287;-8.23335089523874;-9.52028562894157;-10.1924942850266;-9.57414831245792;-10.0758617413663;-9.85582642990713
52;-8.78928452417303;-8.92595702010734;-9.58270458028952;-9.5068551230052;-10.4038962365997;-9.92853758084066;-9.54677222627626;-9.93532643344247;-10.1976678632495;-9.83071313888711;-6.43414066210063;-8.80269492021357;-9.49175197432958;-6.76090653501323;-9.79481492549617;-7.95010989276533;-7.64531296896243;-9.20414950436045
53;-7.92381542078661;-8.9993737738108;-9.40511740167942;-9.41748046153072;-9.07937253320219;-9.6429037476814;-8.94563335055323;-9.44304144677869;-9.45920895336973;-7.2845073225284;-9.64596882429048;-9.36758701202865;-10.4201874025116;-9.569222156354;-8.06386024342457;-8.02874358202406;-9.15769519537066;-9.68745032962116
54;-9.06202165926132;-9.15483402614055;-9.15707220450652;-10.3027240160344;-10.8368777009012;-10.5714277029078;-9.86570337258167;-10.6359131494676;-10.6888912925759;-9.24986322769032;-8.57558109969017;-13.0623842949453;-12.2628316412002;-7.79836622020634;-12.2901182077581;-10.9880251684825;-10.7318128832919;-8.51430316097707
55;-8.89353426707412;-9.20330712588327;-9.07223251077509;-9.84673320335125;-9.81062268984839;-9.57494279760364;-9.59597422708357;-10.0400505650493;-10.174143693046;-9.95147615833803;-8.77401043975345;-8.52103466476581;-10.6043055158191;-10.7756359545339;-8.78114779174133;-8.10612304904487;-7.93053835057233;-13.0519965761787
56;-8.5344589874714;-8.61738884170766;-8.80143085767646;-8.89903099400615;-10.1413653722399;-9.22791348369953;-9.25953004702613;-9.33431230760964;-8.74213523553909;-7.50682147071135;-7.74980569633727;-8.82143458566731;-9.04514056936148;-10.4755366555702;-7.83628457510884;-7.65607769003759;-7.69875987464759;-8.6387906685131
57;-8.39559809026563;-7.95111020734664;-8.678752348935;-9.35921238602104;-10.1503814264608;-8.93266950303374;-9.31046103853866;-9.80998195676796;-9.14697690445894;-7.23691065858017;-7.14662652394658;-10.0216708406976;-7.81416130762204;-8.02428521580648;-9.84752968754675;-8.76150288117854;-9.71992527205332;-8.55316509837307
58;-8.097077088948;-8.31018114312735;-8.85578036921375;-10.1980724381369;-9.54159405712066;-9.32354081347057;-9.19081152519096;-9.32434391899542;-9.50971009747619;-8.85809353084934;-8.2311409606348;-7.4318930794849;-8.12819359659933;-8.96876045403775;-9.40611324180689;-9.15361732808443;-8.20514797523523;-9.48088277631268
59;-7.66321289587176;-8.02942068327781;-7.23106454005545;-8.70233378341535;-9.03971253244102;-8.65847557186529;-8.56855608759857;-8.93503367552864;-9.39937116170957;-6.8468237205841;-8.82523917071655;-9.91444101133162;-6.55952112302904;-8.65561776078347;-8.72669327126088;-9.68540675058956;-7.33923820336879;-7.42064651129554
60;-7.59838895004108;-7.61877275026819;-8.27290333236937;-8.81197647587442;-9.73203388813565;-10.66888167344;-8.85333986628562;-9.17960380648462;-9.38757217426965;-7.28225954751233;-7.19788622737608;-9.0853610951879;-6.2022602927634;-8.16081490708788;-9.90855602950433;-6.23925183148293;-9.87400223761598;-7.37310029153571
61;-7.45188777025782;-7.62304005253215;-7.7325637231938;-8.22179167619813;-9.02543455373104;-9.28030954997938;-8.07061706091986;-8.9471895560119;-8.25972353389606;-5.99802830239884;-6.61649048098679;-6.26474011369155;-8.3755536561026;-7.25081028072103;-9.75589291446837;-8.93520919879733;-8.59453152139053;-10.3211389855565
62;-7.43735705909719;-7.52557775026368;-7.80479942600355;-9.0624443100304;-9.36510124596791;-9.30300032495261;-8.38235406786052;-8.29290748203077;-8.81994071778582;-5.59931260545955;-6.22155096101511;-7.4871644393387;-10.7303886937809;-7.46921287570966;-10.2333964545923;-5.13047938016453;-6.86496886426551;-7.18346706684112
63;-7.79680239325323;-8.31387828728728;-7.69298038349415;-9.11095810194197;-8.49736120946852;-8.85112837976345;-8.54656110576169;-8.50184544719089;-7.85803509285338;-7.55525787757379;-7.06710915167848;-7.33791788249732;-8.59414148988285;-8.61020038924729;-7.57558721870256;-8.63930375171822;-6.12620970698396;-7.27183709516863
64;-7.6324985572972;-7.50668252433664;-7.70027650777138;-7.94002634105464;-8.95835689302654;-8.66190703725418;-7.87155537089297;-8.07634390435655;-8.01433592693352;-6.67216480480833;-6.25766204882078;-7.36002028965013;-7.23852717803967;-9.39307879017337;-6.74077544473355;-6.76972455235844;-6.85088346842264;-7.49105444812327
65;-7.40558613948093;-7.24537136643137;-7.31024672864752;-7.97131065079027;-8.11126629781829;-8.28644610791051;-7.77337358120522;-7.69281313654961;-7.90504705603511;-6.40445776797973;-6.61498884484897;-6.52606592559982;-7.64848856351029;-7.00865313666395;-8.52945518267413;-6.83157554371069;-6.38353578288495;-9.49385072119443
66;-8.13835861443258;-8.47104574798798;-8.77266526649805;-8.97614964527241;-9.74946629851372;-10.1566860423265;-10.0273504966651;-9.59750438873298;-9.71634235925787;-9.08857202237398;-6.98549129275508;-9.51484321394262;-10.3762576850157;-10.8665302639193;-10.018911974612;-8.3982342693406;-7.85277600880499;-10.7580871771887
67;-8.08305254623459;-8.11090202966918;-8.23636397202318;-9.18487947013769;-9.47945741706695;-9.98352866341607;-9.65463162537979;-9.55426728439241;-9.58417694091909;-8.20714444797657;-9.02177441919044;-7.15645167805203;-7.93190507149747;-10.0516722612628;-9.23302280238409;-9.04757053383246;-8.57070270775288;-8.99430257285819
68;-7.61857657068666;-8.23632199195602;-8.43852345588822;-8.6342673077913;-8.09744898299292;-8.90224622161987;-8.97912697364002;-9.06674164573141;-8.96825323124106;-7.17659214013605;-6.96673756802177;-6.78581482748418;-6.43433790216877;-10.0912414984258;-9.08726594553601;-8.68890764285686;-7.8604075268309;-7.52773311682279
69;-7.84575487132668;-7.64713471765182;-7.66797762134402;-8.64466712570112;-8.05162356431486;-8.60456986811676;-8.88081291898247;-9.22318890035509;-8.56713639316045;-7.46646698665643;-8.54237236420215;-6.68193280059515;-8.80330215429461;-8.69877869990959;-7.60513100411997;-7.30272357306242;-8.35394081867357;-9.57360569046682
70;-8.76173425606646;-8.74422272805602;-8.61065936679094;-9.86671731365567;-10.3299808210073;-10.5662804764848;-9.87429003310037;-9.94396587294004;-11.3432388021159;-5.56950202935733;-8.78741366413731;-8.89158018506911;-9.07646736452891;-8.72107326040618;-10.5066673347648;-10.4541721774569;-10.5899697620465;-13.2971464055614
71;-8.55225871491655;-8.46122916087883;-8.68992948893482;-9.56729630373279;-10.4441223892168;-9.39630450046658;-10.4581939357843;-9.83160151754879;-10.2302640244152;-6.60363888989242;-8.4213294191462;-7.02520326922223;-10.3611897234413;-8.88888387029104;-9.3312972249273;-8.90531761270737;-8.86816513545437;-7.8361395075297
72;-8.29509999609809;-8.38826793372874;-8.21793010877973;-9.28732015668064;-9.53099783784033;-9.95173808183208;-9.75373158876429;-9.05796138291414;-9.51585009352418;-7.50223158782256;-7.65509423666756;-8.45645851371262;-9.98959877987089;-8.4928729998903;-10.45618243303;-9.34731753616163;-6.92397923917978;-11.992650491409
73;-9.60287183570773;-10.3829860927655;-9.73803098579979;-9.18546277391763;-8.95318076699579;-9.24436062481554;-9.36390009193219;-9.51261076303688;-9.55895222604495;-7.95806754382992;-7.59216300971848;-10.4137222810795;-7.99883741843118;-8.26758291586426;-11.0507062044352;-9.25840372505289;-9.26752151568946;-12.1984258175345
74;-10.2556129099815;-9.36608656113706;-9.55140893843592;-10.0261862554144;-9.81566906876041;-9.73151285949348;-10.4083388416497;-9.42691122516054;-10.3966255066385;-8.25362902274292;-7.83043622321251;-10.6938842594363;-11.0799721114659;-9.24030844431993;-13.2286382951838;-9.10532203923968;-9.23750572272577;-10.7042781665775
75;-10.8012462760126;-11.2591975481077;-11.7367776741045;-10.0003988450949;-11.7180765126497;-10.0970587152646;-9.89644269757488;-10.5156811608666;-10.4250727261821;-12.3982712166301;-10.3245361687891;-12.646931333593;-9.22935296583778;-9.42175277800806;-11.4676015547327;-9.96461153109332;-9.00876161576427;-9.34803301556322
76;-10.1164800159631;-10.9234469516529;-11.3272781673003;-9.21087698209828;-9.90921609665017;-9.6531733165992;-9.96086942630314;-9.77666426331929;-9.46969798930273;-10.2238403561841;-11.0000639283072;-10.4030531837104;-7.91174579721304;-7.71058319077187;-7.9267293931252;-8.13895905394276;-8.96059711543802;-10.530385367374
77;-10.7033967404633;-10.6650922127903;-10.6851775967485;-8.90096856761041;-10.1306526557319;-9.57029279870549;-9.45874983022435;-9.78291292389676;-9.35767515932451;-11.2531773245582;-9.92867895046347;-8.59660872630402;-8.53525851369886;-10.0027176943755;-9.51558403776034;-7.99507470965546;-11.6253012717607;-7.64512202870586
