"iteration";"fit.mle.sGARCH.norm";"fit.mle.sGARCH.skewnorm";"fit.mle.sGARCH.t";"fit.mle.eGARCH.norm";"fit.mle.eGARCH.skewnorm";"fit.mle.eGARCH.t";"fit.mle.gjrGARCH.norm";"fit.mle.gjrGARCH.skewnorm";"fit.mle.gjrGARCH.t";"fit.bayes.sGARCH.norm";"fit.bayes.sGARCH.skewnorm";"fit.bayes.sGARCH.t";"fit.bayes.eGARCH.norm";"fit.bayes.eGARCH.skewnorm";"fit.bayes.eGARCH.t";"fit.bayes.gjrGARCH.norm";"fit.bayes.gjrGARCH.skewnorm";"fit.bayes.gjrGARCH.t"
"1";"-10.1022658689429";"-10.3219510036915";"-10.2956444290243";"-10.2446987640391";"-10.4862805503367";"-11.1090818826371";"-11.2621407217858";"-11.5877157740973";"-12.0851036872301";"-10.4953395932738";"-10.9498471900358";"-11.5470182543524";"-9.54570219149977";"-14.1565151808225";"-11.8095520754907";"-11.0609587720502";"-11.7316328916984";"-12.3704187222389"
"2";"-9.50931417321656";"-10.2066725068004";"-10.0034521527605";"-10.6184671537839";"-10.7198871124288";"-10.7201761446655";"-10.4605775173256";"-10.688144465824";"-11.6854743576369";"-10.0633566291564";"-9.80648197338379";"-11.5597825983949";"-10.1385839693446";"-11.3799732087274";"-9.44661712871892";"-10.1015835205871";"-10.9582368001455";"-11.3010632350105"
"3";"-10.3404199404776";"-10.9128281170877";"-10.4298895924366";"-9.40222695549914";"-12.5136444818206";"-9.29430996068774";"-10.3931432565648";"-10.2865025511333";"-11.1076233794557";"-10.6629041874358";"-9.70499494651258";"-10.9665594904326";"-8.54053099083026";"-9.90589464916656";"-10.0021141627903";"-10.5159253229758";"-11.1506989772607";"-10.8337210535637"
"4";"-9.41546471628742";"-9.73604157243548";"-9.82239652266829";"-9.0189410229363";"-11.6937153583505";"-8.79359706245486";"-9.414959645228";"-9.75334003044882";"-10.5544794501504";"-9.84307494467367";"-10.4927973916049";"-10.5827115628443";"-8.53606463124821";"-10.2698190278404";"-9.29656677384817";"-9.98346221472447";"-9.93640151931318";"-9.92782588006878"
"5";"-9.62409841382897";"-9.39258418056822";"-9.45116916805683";"-7.71698564224999";"-10.4429608956866";"-7.02645691656565";"-8.90855488067882";"-9.63442258259705";"-10.227104663649";"-9.64875369457734";"-9.28470710256473";"-10.0943717571155";"-8.26259907658786";"-8.23009957637947";"-8.33391750321899";"-9.39381551656295";"-8.45061459245245";"-9.76698312081153"
"6";"-8.81542834015198";"-8.73799861907856";"-9.85661711148978";"-9.13383770964477";"-8.78376330946549";"-7.44544575016045";"-8.3959269881053";"-9.20736699596561";"-9.35973832528281";"-8.26064648038535";"-8.36115000700974";"-9.10832042746919";"-8.74299379329199";"-7.57192825473237";"-9.30975885820796";"-7.69326139028391";"-8.11370041347796";"-9.84596678665899"
"7";"-8.83793985317826";"-8.91214868864996";"-9.49398131398429";"-6.93243388960879";"-9.13805886636736";"-8.95514150624508";"-7.99086929632087";"-8.68610785495783";"-9.15991015885756";"-8.96060648785217";"-8.14876083294203";"-9.21697276764417";"-7.22829076147316";"-8.69740792700841";"-7.603601820176";"-8.75112079129265";"-7.36465632542483";"-9.65447005955767"
"8";"-9.57373985672964";"-9.2287914602131";"-10.2146852098566";"-9.78790370450281";"-8.76136198254555";"-8.48723284293119";"-10.0376415306788";"-10.2260562305283";"-11.3617552965229";"-9.93955771417183";"-9.4020312612674";"-9.96299071504981";"-10.1193561446019";"-8.83074395542987";"-10.1545043812004";"-9.61376271277173";"-10.19206069986";"-10.7184201991558"
"9";"-9.15006481274396";"-8.66092104260588";"-9.77880924306613";"-8.05192095139914";"-9.5351908298707";"-8.6518109804894";"-9.14942403916164";"-9.66497849450237";"-10.2051449419141";"-8.5314393848805";"-8.62645945282287";"-9.85872692785552";"-8.8034107914767";"-8.49734455969201";"-9.43681024088797";"-9.13141278271254";"-9.80418068214926";"-11.0435090158162"
"10";"-8.72466126444012";"-8.25205585603938";"-8.59618075237885";"-7.8777928393812";"-9.44625934155629";"-8.21181741592794";"-9.08082687423511";"-9.17711119995553";"-9.63814808950968";"-7.47381559119812";"-8.92666935386";"-8.97095090233162";"-7.72388632271754";"-10.79397076305";"-8.46853237659009";"-9.15573307541839";"-9.1798873806037";"-9.38904295174556"
"11";"-8.33476294222977";"-7.67807342228777";"-9.42687756744355";"-7.12002308957941";"-7.57215642530634";"-8.2969125435024";"-8.58729350431349";"-8.76105196503016";"-9.17824449322106";"-7.98665304667526";"-8.36861686989111";"-8.30392389429127";"-8.84707898408611";"-7.27183080775765";"-8.05377854887675";"-8.51218038550478";"-8.28573130778837";"-9.39078379942827"
"12";"-8.67346312944238";"-8.76995336157315";"-9.28336938354689";"-6.95069667056965";"-7.36428626312498";"-7.47771139578483";"-8.01746171513213";"-8.51221141019019";"-9.02381538616948";"-8.29601237205168";"-8.44855317279066";"-9.47001757084149";"-6.6184033546475";"-7.06076159526484";"-7.10448546306476";"-8.66408552693611";"-8.34270377420234";"-9.17822246474175"
"13";"-8.24806979452348";"-8.31059315218159";"-8.25165057642306";"-6.27052076922159";"-6.81832538584392";"-8.31895603087813";"-7.54780256804167";"-8.11280792337869";"-8.60146449398036";"-8.40269977134081";"-7.58888959898753";"-8.34711970056923";"-6.65603028264558";"-7.07847908456359";"-6.27693501969011";"-7.13302439180687";"-8.04316032081699";"-8.21539349219711"
"14";"-8.14395576777111";"-7.75114259411724";"-8.27089601919387";"-6.40855212085668";"-6.16029587405729";"-7.63169958763584";"-7.46773193212819";"-7.83193511853561";"-8.32258946050844";"-8.18732357133874";"-7.4660876155709";"-8.71000215994518";"-6.37475169280047";"-6.21195197507791";"-6.03747678382919";"-7.22488228953115";"-7.2380910521091";"-7.99758113812479"
"15";"-7.77525794918749";"-7.22351736739993";"-8.3712269555311";"-6.16600345862206";"-6.52484268399488";"-6.05046539812076";"-6.85924664775848";"-7.66016091609552";"-7.69442887567155";"-7.12455030636215";"-7.51522884424298";"-8.28081964931585";"-5.33009878058137";"-6.15553402086559";"-7.31187946528823";"-7.22796934922641";"-6.42263380226725";"-7.99293133752647"
"16";"-8.43862033349495";"-8.24174741512911";"-8.51399968455336";"-7.69104225769547";"-8.0905599154732";"-9.82721463105184";"-8.69651719099913";"-8.83249003424573";"-9.75088192963853";"-8.16581947802541";"-8.31370714512066";"-8.23575583005144";"-8.18230649048593";"-7.45113719471234";"-8.8126420873906";"-8.36734346947295";"-9.36262437845496";"-9.04922472511691"
