"Model";"Violation.percentage";"LR.UC";"pval.UC";"LR.Ind";"pval.Ind";"LR.CC";"pval.CC";"DQ";"pval.DQ"
"fit.mle.sGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010095;0.542518238294364
"fit.mle.sGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010097;0.54251823829436
"fit.mle.sGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010095;0.542518238294364
"fit.mle.eGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;0.010101010101013;0.999999978610121
"fit.mle.eGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;0.0101109286090583;0.999999978547128
"fit.mle.eGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;0.0101010101010101;0.999999978610121
"fit.mle.gjrGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010093;0.542518238294366
"fit.mle.gjrGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010094;0.542518238294365
"fit.mle.gjrGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010093;0.542518238294366
"fit.bayes.sGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010101;0.542518238294357
"fit.bayes.sGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010099;0.542518238294359
"fit.bayes.sGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010094;0.542518238294365
"fit.bayes.eGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;0.0101010101010101;0.999999978610121
"fit.bayes.eGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;0.0101010101010101;0.999999978610121
"fit.bayes.eGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010105;0.542518238294351
"fit.bayes.gjrGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010095;0.542518238294364
"fit.bayes.gjrGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010093;0.542518238294367
"fit.bayes.gjrGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010104;0.542518238294352
