"Model";"Violation.percentage";"LR.UC";"pval.UC";"LR.Ind";"pval.Ind";"LR.CC";"pval.CC";"DQ";"pval.DQ"
"fit.mle.sGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010096;0.542518238294363
"fit.mle.sGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010093;0.542518238294366
"fit.mle.sGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010095;0.542518238294364
"fit.mle.eGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010091;0.542518238294368
"fit.mle.eGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010092;0.542518238294367
"fit.mle.eGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010091;0.542518238294369
"fit.mle.gjrGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010094;0.542518238294365
"fit.mle.gjrGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010095;0.542518238294364
"fit.mle.gjrGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010096;0.542518238294362
"fit.bayes.sGARCH.norm";0.2;4.81336069159451;0.028239920432053;0.00401606695593389;0.949469927766899;4.81737675855045;0.0899331754646215;3.4122608665363;0.755604040893615
"fit.bayes.sGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010095;0.542518238294364
"fit.bayes.sGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010095;0.542518238294364
"fit.bayes.eGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010093;0.542518238294366
"fit.bayes.eGARCH.skewnorm";0.2;4.81336069159451;0.028239920432053;0.00401606695593389;0.949469927766899;4.81737675855045;0.0899331754646215;3.51389667506426;0.742119894653191
"fit.bayes.eGARCH.t";0.2;4.81336069159451;0.028239920432053;0.00401606695593389;0.949469927766899;4.81737675855045;0.0899331754646215;3.47988402027232;0.746644088145996
"fit.bayes.gjrGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010093;0.542518238294366
"fit.bayes.gjrGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010094;0.542518238294364
"fit.bayes.gjrGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010095;0.542518238294363
