"iteration";"fit.mle.sGARCH.norm";"fit.mle.sGARCH.skewnorm";"fit.mle.sGARCH.t";"fit.mle.eGARCH.norm";"fit.mle.eGARCH.skewnorm";"fit.mle.eGARCH.t";"fit.mle.gjrGARCH.norm";"fit.mle.gjrGARCH.skewnorm";"fit.mle.gjrGARCH.t";"fit.bayes.sGARCH.norm";"fit.bayes.sGARCH.skewnorm";"fit.bayes.sGARCH.t";"fit.bayes.eGARCH.norm";"fit.bayes.eGARCH.skewnorm";"fit.bayes.eGARCH.t";"fit.bayes.gjrGARCH.norm";"fit.bayes.gjrGARCH.skewnorm";"fit.bayes.gjrGARCH.t"
11;-5.84774271955686;-5.94688254167983;-6.06349780402631;-5.63528125915482;-5.12909696461675;-4.57577529994215;-5.47707257757934;-5.86303970229661;-5.66568012847259;-5.83095605829377;-6.10546766714102;-6.13274451775502;-5.27172208348331;-5.3705978902795;-5.64772200326921;-5.5492240480135;-5.64590339032454;-5.84962454845989
12;-5.82589977728197;-5.79239094182365;-5.78603960747375;-5.29087610014093;-5.55803819153268;-5.97785674990497;-5.16864773220704;-5.66793181949728;-5.50991467180491;-5.50077920095334;-5.74635349865465;-5.9503910453773;-4.56284987570952;-5.10401479286993;-5.17538839836474;-5.24439988411952;-5.04456412804797;-5.52884078269238
13;-5.55601941082254;-5.79745640472489;-5.58189881191395;-4.73417903749122;-4.68703880330087;-4.76012838764121;-5.08863999416163;-5.50295595276696;-5.33529686719702;-5.25992689532223;-5.18961425156047;-5.67300993081421;-4.58106800496343;-4.67624101341247;-4.96459499825199;-4.77214437037889;-5.01180382156464;-5.34584162588281
14;-5.13612422506353;-5.36219455239075;-5.33333766136651;-4.38750121634417;-4.47954167340653;-4.42539532667618;-4.90102172794667;-5.33478855481533;-5.00236633276162;-4.69889407497865;-5.45316779519113;-5.57316352428502;-4.12654836800785;-4.71680000556348;-4.50801459659427;-4.79213860933157;-4.83156541478823;-5.20437465908602
15;-5.40377807346766;-5.69330074435756;-5.42565276061528;-4.28963292730414;-3.92573724685084;-3.79400364940065;-4.52778148087085;-5.28916009445479;-5.05025753600078;-5.21221788736977;-5.57062764950237;-5.38435657604031;-4.22959066240118;-4.52421643456359;-4.65463664879001;-4.81329121590456;-4.54096259855084;-5.31809614016245
16;-5.12108089049237;-5.19718745717347;-5.17858826671629;-3.96467856075992;-4.07584304976381;-4.05882228413201;-4.71092418957382;-4.99233454343511;-4.82887170028457;-4.6615938825103;-4.84573380167619;-5.18983180911365;-3.85594654280435;-4.17487514282482;-4.10672347559555;-4.40965676609175;-5.05953548368337;-4.54045148369694
17;-4.88675950900899;-4.85628332336564;-5.02499652843665;-3.66179783493674;-4.26183288771421;-3.85571525780567;-4.12775550372332;-5.16912071536821;-5.04168177024392;-4.26234762431097;-4.63062218808352;-4.86351891877911;-3.78304985850633;-4.06107556260191;-4.24446978021652;-4.19258878940004;-4.58348783151749;-4.47234378712135
18;-4.41167301480223;-5.03388235695712;-4.77783449329838;-4.23103918232882;-3.89032571569339;-4.83651428299414;-3.89791714030118;-5.01850818081084;-4.63144268497962;-4.58577646090831;-4.71140753769392;-4.79219404146074;-3.30354480727484;-3.90547871483354;-4.19469957697934;-3.9325620005614;-3.97878777224441;-4.49058902458001
19;-4.33049322942354;-4.55805499415158;-4.55571991284108;-3.84997459293091;-4.25250028697005;-4.87683855101435;-4.70049275338569;-5.06544545042327;-4.6053978586064;-4.29865991470239;-4.75712634194008;-4.79749457635094;-3.68941583652716;-4.2711570449768;-3.94064779920588;-3.66384116155404;-4.65898424644081;-3.95117149193716
20;-5.53554545023747;-5.99622391803418;-5.92299419785233;-5.79914515271595;-6.20940788105748;-5.53597074858924;-6.07889338747592;-6.78212000322628;-6.96219595465311;-5.82538012318601;-5.65540022409821;-5.90278007085691;-5.97555921564238;-6.37469497803874;-5.99690884185254;-6.98275229451027;-6.52039292153168;-6.58357398424192
21;-5.62687456004735;-5.90372644435516;-5.85399767211496;-5.54670328157006;-5.38990187039646;-5.17996936054393;-6.38326752557325;-6.54085344576682;-6.38775857254501;-5.61563924793875;-5.72162389108922;-5.95932956371382;-5.49817013576134;-6.58051982773488;-6.2990657233224;-5.61364147909714;-6.30872122683213;-6.46798601003804
22;-5.44519029317581;-5.93347375510967;-5.60362457961938;-4.72760567446432;-5.51978960968433;-4.78109346617538;-5.74664379657671;-6.17737048537609;-6.03959552325836;-5.22925818413964;-5.74219238393493;-5.74384464491299;-5.19604454302441;-5.13486871022664;-5.37484817437781;-5.90627658546473;-5.85049745458679;-6.06150952216458
23;-6.54394166155787;-6.98543744626548;-6.78267207749339;-4.72890600915343;-5.43965645148863;-5.01876774702701;-5.73640135057934;-6.00382296347302;-5.92223215174818;-6.35896412356183;-7.22536294166215;-6.92677350045436;-4.81976481883195;-6.91002716046807;-5.82725096047761;-5.60878508697429;-6.04726539694847;-6.00229708501119
24;-5.98445663407247;-6.51135801150662;-6.47388353991188;-4.68082512153994;-5.09259814919605;-5.02772575462649;-5.55665688582878;-5.87196798838364;-5.7226193760523;-5.69636694277369;-6.85918779772884;-6.65474461485239;-4.73272488909336;-4.71524996711652;-5.10782611587209;-5.41486106949514;-6.19566919175975;-5.77956499761363
25;-6.0568486705136;-6.28345212209273;-6.18613014279767;-4.46389338665553;-4.93870634334307;-4.6072304092768;-5.33333933765034;-5.6644776659976;-5.50058295387196;-5.8929515024923;-6.22659429887063;-6.4656868671441;-4.25142336942052;-4.69755256506577;-4.76526999142056;-5.11595485968126;-5.3798679701634;-5.5259991903803
26;-5.77218607779684;-5.9887300304818;-5.97262412517915;-4.3896503525085;-4.57223790201482;-4.46377653625451;-5.21477468829626;-5.53220194791803;-5.32243253951286;-5.70779670189838;-5.9074496873382;-5.96420921682906;-4.62926013394318;-4.67249037510197;-4.87781646912331;-4.81855704379464;-4.94737694605453;-5.46873690905613
27;-5.36400101680209;-5.78334548631969;-5.66460177785319;-4.08508052605859;-4.30622284009891;-4.18125499023739;-5.06878898421177;-5.36267365623721;-5.22117967711545;-5.53522696261414;-5.56717043462846;-5.71614850749736;-4.43301199957185;-4.6392699280599;-4.61131280140755;-4.86431985694535;-5.01818736730601;-5.07895480829477
28;-5.59534368600919;-5.92698780423416;-5.81458235185262;-4.42049350780211;-4.15131444364885;-4.29567747190066;-4.64447384080088;-5.30475234243627;-5.12727778582661;-5.66995379118933;-5.59677122563355;-5.98765047091533;-4.14680648062144;-5.49022208456269;-4.22926783803308;-4.32082671335222;-4.98239079128511;-4.98776242597516
29;-5.11046004287752;-5.5989280861389;-5.54917905440609;-3.79671608273896;-3.9907676872872;-4.05684123027862;-4.38662976569008;-4.98766738197006;-4.8188503230687;-5.16846186917209;-5.55528330782798;-5.70835054733301;-4.09971133660913;-4.42566070395045;-4.20867759219252;-4.54511962493696;-4.54645456566676;-4.49617175720654
30;-5.1977968138646;-5.49399321032879;-5.40180501172586;-3.99711920822796;-3.79392676142379;-3.84929300595362;-4.72718736263383;-5.16754716288917;-4.79333285374166;-5.22053554160117;-5.18849551845419;-5.55932914580997;-3.61188905158271;-3.89250996659257;-3.85250573563722;-4.5022096269399;-4.77925022386056;-4.51627695347516
31;-4.7737744421549;-5.24713847392549;-5.15381764220406;-3.39134286618814;-3.82714248873374;-3.80923887390755;-4.64211565140585;-4.92236821881246;-4.56614461200842;-4.64244880313896;-5.15370417116118;-5.26929642575143;-3.20970703167474;-3.94515104311156;-3.98034404530201;-4.18426638174669;-3.92356447707055;-3.9865159444631
32;-4.82254165616613;-5.08473334195003;-5.01478970401918;-3.27297069136886;-3.50191125523824;-3.77256238327759;-4.56224800377487;-4.95579949395989;-4.12513283951141;-4.57900776774256;-4.61557406818043;-5.19500028590635;-3.16964145015899;-3.46407057604097;-3.24227492195826;-4.87723269132809;-3.96807250013787;-4.07799966646497
33;-4.83765664742444;-4.96642750293547;-4.89773716604981;-3.12502973680789;-3.23672338311675;-3.25465598702758;-3.75298371474916;-4.82211717839838;-4.01757846436935;-4.3643681020521;-4.83658611724361;-4.94025666288195;-3.31135360561462;-3.23763064822347;-3.51620192064481;-4.06267728575358;-4.19867485795717;-4.29884862926439
34;-5.42088030833033;-5.64661546358337;-5.53807756489486;-4.78969000119602;-4.99609446664593;-4.62445278297251;-5.25866950204033;-5.87928291601333;-5.34905925509124;-5.29614361937885;-5.41685054147766;-5.73545493010608;-4.36148885521765;-4.59892318975204;-4.91303722558268;-5.17867429799435;-5.5071109032418;-5.6665921330346
35;-5.08051173533144;-5.39271992498339;-5.28486487500306;-4.58367548153194;-4.71243558567769;-4.46530353329745;-4.76963009672306;-5.65701208976135;-5.3128137758653;-4.8441442960225;-5.08743459169194;-5.52379940359385;-4.37603193693719;-4.34841849349913;-4.31209275106182;-5.03613599017564;-5.35432157702105;-5.41635634423545
36;-5.02680838391495;-5.36673777121765;-5.25954581204018;-4.18811527593793;-4.70844137816509;-4.15124256578371;-4.94443584333836;-5.54140635506754;-5.03206924142386;-4.83207647032784;-5.23825559125461;-5.35861297454152;-4.25847778363511;-4.77674003442802;-4.57282755352059;-4.81298464851525;-4.99769287220627;-5.22009734027443
37;-4.91807524246392;-5.20999200843757;-5.09565582449782;-4.12233602847001;-4.20804940722401;-4.31869021843879;-4.63450185226829;-5.22005017805897;-4.9642050916043;-4.78356119153821;-5.03812109533948;-5.17060781048508;-4.3848632790195;-4.81861360084965;-4.72883102214707;-4.78170102557893;-4.77705599796457;-5.11500218159028
38;-5.03035659291547;-5.40348539960214;-5.30655495408325;-4.4397759309431;-4.67102040315555;-4.49004149841775;-4.84329029407119;-5.2424684409164;-4.80373279735047;-4.98702379648728;-5.45376460251509;-5.53042566725054;-4.55510531458796;-4.61536019751062;-4.91753260451712;-4.51626928281999;-4.85498105932735;-5.13586777113933
39;-4.88752537957312;-5.16618886754626;-5.06396168094091;-3.76883853144104;-4.18167656121442;-3.95252436392246;-4.61116089219396;-4.98366813698621;-4.59614366143053;-4.84730048615073;-5.21582376760541;-5.13871259148822;-4.05347239199805;-4.79033082063564;-3.75337392735942;-4.44683125299779;-4.49811934215055;-4.77468138802869
